order_month,order_date,order_id,customer_id,order_channel,sku_id,product_category,product_name,units_sold,order_revenue,customer_status,region
Month 1,2025-01-04,ORD50119,CUST1009,Online,SKU1001,Necklaces,Gold Pendant Necklace,1,195.86,Active,Northeast
Month 1,2025-01-04,ORD50126,CUST1065,Online,SKU1009,Bracelets,Charm Bracelet,1,141.13,Active,South
Month 1,2025-01-04,ORD50174,CUST1179,Online,SKU1001,Necklaces,Gold Pendant Necklace,2,346.94,Active,West
Month 1,2025-01-05,ORD50041,CUST1114,Online,SKU1006,Rings,Silver Stackable Ring,1,102.74,Active,Northeast
Month 1,2025-01-05,ORD50053,CUST1021,In-Store,SKU1008,Earrings,Hoop Earrings,2,201.05,Lapsed,Northeast
Month 1,2025-01-05,ORD50096,CUST1095,In-Store,SKU1002,Rings,Diamond Promise Ring,1,280.16,Lapsed,West
Month 1,2025-01-05,ORD50120,CUST1059,In-Store,SKU1009,Bracelets,Charm Bracelet,1,140.1,Active,West
Month 1,2025-01-05,ORD50147,CUST1047,In-Store,SKU1001,Necklaces,Gold Pendant Necklace,1,184.32,Active,West
Month 1,2025-01-05,ORD50148,CUST1029,In-Store,SKU1001,Necklaces,Gold Pendant Necklace,2,380.91,Active,South
Month 1,2025-01-05,ORD50160,CUST1005,In-Store,SKU1001,Necklaces,Gold Pendant Necklace,1,162.71,Active,Northeast
Month 1,2025-01-05,ORD50188,CUST1040,In-Store,SKU1009,Bracelets,Charm Bracelet,1,139.55,Active,Northeast
Month 1,2025-01-06,ORD50001,CUST1018,In-Store,SKU1004,Bracelets,Tennis Bracelet,1,383.5,Active,Northeast
Month 1,2025-01-06,ORD50016,CUST1092,In-Store,SKU1002,Rings,Diamond Promise Ring,1,332.13,Lapsed,West
Month 1,2025-01-06,ORD50062,CUST1052,Online,SKU1005,Watches,Rose Gold Watch,2,547.72,Active,Midwest
Month 1,2025-01-06,ORD50090,CUST1007,Online,SKU1005,Watches,Rose Gold Watch,2,543.55,Active,Northeast
Month 1,2025-01-06,ORD50135,CUST1118,In-Store,SKU1005,Watches,Rose Gold Watch,1,226.41,Active,Northeast
Month 1,2025-01-06,ORD50205,CUST1031,In-Store,SKU1006,Rings,Silver Stackable Ring,1,96.83,Active,South
Month 1,2025-01-07,ORD50083,CUST1146,In-Store,SKU1002,Rings,Diamond Promise Ring,2,631.89,Lapsed,South
Month 1,2025-01-07,ORD50189,CUST1134,Online,SKU1006,Rings,Silver Stackable Ring,3,286.1,Active,Northeast
Month 1,2025-01-08,ORD50003,CUST1049,In-Store,SKU1007,Necklaces,Birthstone Necklace,1,150.11,Active,Northeast
Month 1,2025-01-08,ORD50038,CUST1085,In-Store,SKU1008,Earrings,Hoop Earrings,1,123.18,Active,Midwest
Month 1,2025-01-08,ORD50115,CUST1166,Online,SKU1006,Rings,Silver Stackable Ring,1,99.27,Active,West
Month 1,2025-01-08,ORD50127,CUST1016,In-Store,SKU1005,Watches,Rose Gold Watch,1,235.96,Lapsed,Northeast
Month 1,2025-01-08,ORD50134,CUST1061,Online,SKU1008,Earrings,Hoop Earrings,1,118.07,Active,South
Month 1,2025-01-08,ORD50199,CUST1106,Online,SKU1010,Rings,Engagement Ring Set,2,2077.07,Active,South
Month 1,2025-01-09,ORD50045,CUST1070,Online,SKU1003,Earrings,Pearl Stud Earrings,1,153.82,Active,Northeast
Month 1,2025-01-09,ORD50069,CUST1148,In-Store,SKU1010,Rings,Engagement Ring Set,2,1955.4,Active,Northeast
Month 1,2025-01-09,ORD50112,CUST1101,In-Store,SKU1008,Earrings,Hoop Earrings,1,104.5,Active,South
Month 1,2025-01-09,ORD50128,CUST1009,Online,SKU1004,Bracelets,Tennis Bracelet,2,806.58,Active,Northeast
Month 1,2025-01-09,ORD50131,CUST1050,Online,SKU1007,Necklaces,Birthstone Necklace,1,166.59,Lapsed,South
Month 1,2025-01-09,ORD50167,CUST1176,In-Store,SKU1003,Earrings,Pearl Stud Earrings,1,146.44,Active,South
Month 1,2025-01-09,ORD50197,CUST1012,In-Store,SKU1002,Rings,Diamond Promise Ring,2,576.53,Lapsed,South
Month 1,2025-01-10,ORD50060,CUST1159,Online,SKU1007,Necklaces,Birthstone Necklace,3,494.81,Active,Northeast
Month 1,2025-01-10,ORD50095,CUST1107,In-Store,SKU1004,Bracelets,Tennis Bracelet,2,849.52,Lapsed,Northeast
Month 1,2025-01-10,ORD50100,CUST1093,Online,SKU1008,Earrings,Hoop Earrings,1,132.79,Active,Northeast
Month 1,2025-01-10,ORD50105,CUST1098,In-Store,SKU1009,Bracelets,Charm Bracelet,1,144.38,Active,Northeast
Month 1,2025-01-10,ORD50150,CUST1100,Online,SKU1004,Bracelets,Tennis Bracelet,1,398.99,Active,West
Month 1,2025-01-10,ORD50163,CUST1029,In-Store,SKU1006,Rings,Silver Stackable Ring,2,189.71,Active,South
Month 1,2025-01-10,ORD50165,CUST1076,Online,SKU1004,Bracelets,Tennis Bracelet,1,401.43,Active,Northeast
Month 1,2025-01-10,ORD50194,CUST1104,Online,SKU1004,Bracelets,Tennis Bracelet,2,839.88,Active,Northeast
Month 1,2025-01-10,ORD50212,CUST1138,In-Store,SKU1007,Necklaces,Birthstone Necklace,1,174.31,Active,Northeast
Month 1,2025-01-11,ORD50002,CUST1104,In-Store,SKU1002,Rings,Diamond Promise Ring,1,304.85,Active,Northeast
Month 1,2025-01-11,ORD50007,CUST1131,Online,SKU1003,Earrings,Pearl Stud Earrings,1,150.77,Active,West
Month 1,2025-01-11,ORD50021,CUST1083,In-Store,SKU1006,Rings,Silver Stackable Ring,3,243.63,Active,Midwest
Month 1,2025-01-11,ORD50023,CUST1102,Online,SKU1010,Rings,Engagement Ring Set,2,1964.65,Active,South
Month 1,2025-01-11,ORD50028,CUST1152,In-Store,SKU1005,Watches,Rose Gold Watch,1,255.32,Lapsed,South
Month 1,2025-01-11,ORD50077,CUST1077,In-Store,SKU1002,Rings,Diamond Promise Ring,2,632.87,Active,Midwest
Month 1,2025-01-11,ORD50091,CUST1050,In-Store,SKU1001,Necklaces,Gold Pendant Necklace,1,178.53,Lapsed,South
Month 1,2025-01-11,ORD50099,CUST1077,In-Store,SKU1008,Earrings,Hoop Earrings,1,110.9,Active,Midwest
Month 1,2025-01-11,ORD50107,CUST1095,Online,SKU1005,Watches,Rose Gold Watch,1,248.69,Lapsed,West
Month 1,2025-01-11,ORD50118,CUST1076,Online,SKU1002,Rings,Diamond Promise Ring,1,359.86,Active,Northeast
Month 1,2025-01-11,ORD50172,CUST1048,Online,SKU1008,Earrings,Hoop Earrings,1,131.06,Active,Midwest
Month 1,2025-01-12,ORD50004,CUST1125,Online,SKU1006,Rings,Silver Stackable Ring,1,101.52,Lapsed,West
Month 1,2025-01-13,ORD50051,CUST1141,In-Store,SKU1006,Rings,Silver Stackable Ring,1,103.0,Lapsed,West
Month 1,2025-01-13,ORD50065,CUST1144,In-Store,SKU1008,Earrings,Hoop Earrings,1,128.21,Lapsed,West
Month 1,2025-01-13,ORD50066,CUST1040,In-Store,SKU1001,Necklaces,Gold Pendant Necklace,1,180.45,Active,Northeast
Month 1,2025-01-13,ORD50068,CUST1016,Online,SKU1001,Necklaces,Gold Pendant Necklace,1,186.23,Lapsed,Northeast
Month 1,2025-01-13,ORD50109,CUST1094,Online,SKU1005,Watches,Rose Gold Watch,1,298.82,Active,Midwest
Month 1,2025-01-13,ORD50133,CUST1072,In-Store,SKU1003,Earrings,Pearl Stud Earrings,2,239.25,Active,Northeast
Month 1,2025-01-13,ORD50169,CUST1153,Online,SKU1004,Bracelets,Tennis Bracelet,1,426.71,Active,Northeast
Month 1,2025-01-13,ORD50206,CUST1058,Online,SKU1001,Necklaces,Gold Pendant Necklace,1,173.97,Active,West
Month 1,2025-01-14,ORD50010,CUST1034,Online,SKU1006,Rings,Silver Stackable Ring,1,96.61,Active,Northeast
Month 1,2025-01-14,ORD50159,CUST1125,Online,SKU1006,Rings,Silver Stackable Ring,1,98.22,Lapsed,West
Month 1,2025-01-14,ORD50161,CUST1131,Online,SKU1004,Bracelets,Tennis Bracelet,1,406.66,Active,West
Month 1,2025-01-14,ORD50162,CUST1097,In-Store,SKU1003,Earrings,Pearl Stud Earrings,2,275.08,Active,South
Month 1,2025-01-14,ORD50180,CUST1029,Online,SKU1007,Necklaces,Birthstone Necklace,1,167.89,Active,South
Month 1,2025-01-14,ORD50207,CUST1025,In-Store,SKU1002,Rings,Diamond Promise Ring,3,889.18,Lapsed,Northeast
Month 1,2025-01-15,ORD50061,CUST1118,In-Store,SKU1007,Necklaces,Birthstone Necklace,1,153.47,Active,Northeast
Month 1,2025-01-15,ORD50138,CUST1073,Online,SKU1002,Rings,Diamond Promise Ring,1,323.68,Active,Northeast
Month 1,2025-01-15,ORD50145,CUST1109,In-Store,SKU1006,Rings,Silver Stackable Ring,1,101.59,Active,South
Month 1,2025-01-15,ORD50153,CUST1103,In-Store,SKU1003,Earrings,Pearl Stud Earrings,1,135.22,Active,West
Month 1,2025-01-15,ORD50166,CUST1024,Online,SKU1002,Rings,Diamond Promise Ring,1,378.11,Active,Midwest
Month 1,2025-01-15,ORD50202,CUST1082,Online,SKU1009,Bracelets,Charm Bracelet,2,311.35,Active,West
Month 1,2025-01-16,ORD50009,CUST1134,Online,SKU1008,Earrings,Hoop Earrings,1,133.75,Active,Northeast
Month 1,2025-01-16,ORD50015,CUST1036,Online,SKU1003,Earrings,Pearl Stud Earrings,1,133.88,Active,Northeast
Month 1,2025-01-16,ORD50044,CUST1059,In-Store,SKU1008,Earrings,Hoop Earrings,1,119.02,Active,West
Month 1,2025-01-16,ORD50076,CUST1024,Online,SKU1010,Rings,Engagement Ring Set,1,985.34,Active,Midwest
Month 1,2025-01-17,ORD50011,CUST1133,Online,SKU1005,Watches,Rose Gold Watch,2,528.33,Active,South
Month 1,2025-01-17,ORD50034,CUST1098,In-Store,SKU1007,Necklaces,Birthstone Necklace,1,155.77,Active,Northeast
Month 1,2025-01-17,ORD50052,CUST1176,In-Store,SKU1002,Rings,Diamond Promise Ring,1,301.75,Active,South
Month 1,2025-01-17,ORD50102,CUST1076,In-Store,SKU1009,Bracelets,Charm Bracelet,1,143.59,Active,Northeast
Month 1,2025-01-17,ORD50129,CUST1012,Online,SKU1005,Watches,Rose Gold Watch,2,556.36,Lapsed,South
Month 1,2025-01-17,ORD50136,CUST1157,In-Store,SKU1003,Earrings,Pearl Stud Earrings,1,132.11,Active,Northeast
Month 1,2025-01-17,ORD50143,CUST1058,In-Store,SKU1010,Rings,Engagement Ring Set,1,911.65,Active,West
Month 1,2025-01-17,ORD50164,CUST1022,In-Store,SKU1006,Rings,Silver Stackable Ring,3,284.13,Lapsed,West
Month 1,2025-01-17,ORD50176,CUST1134,In-Store,SKU1002,Rings,Diamond Promise Ring,1,294.14,Active,Northeast
Month 1,2025-01-18,ORD50046,CUST1168,Online,SKU1008,Earrings,Hoop Earrings,2,244.62,Active,South
Month 1,2025-01-18,ORD50094,CUST1036,Online,SKU1002,Rings,Diamond Promise Ring,1,328.91,Active,Northeast
Month 1,2025-01-18,ORD50175,CUST1130,Online,SKU1004,Bracelets,Tennis Bracelet,2,919.05,Lapsed,West
Month 1,2025-01-18,ORD50187,CUST1038,Online,SKU1007,Necklaces,Birthstone Necklace,2,329.63,Active,Midwest
Month 1,2025-01-18,ORD50200,CUST1028,Online,SKU1007,Necklaces,Birthstone Necklace,1,165.32,Active,South
Month 1,2025-01-18,ORD50201,CUST1176,Online,SKU1001,Necklaces,Gold Pendant Necklace,1,183.79,Active,South
Month 1,2025-01-19,ORD50029,CUST1139,In-Store,SKU1004,Bracelets,Tennis Bracelet,1,363.4,Lapsed,Midwest
Month 1,2025-01-19,ORD50030,CUST1140,In-Store,SKU1010,Rings,Engagement Ring Set,1,852.87,Active,South
Month 1,2025-01-19,ORD50058,CUST1046,In-Store,SKU1007,Necklaces,Birthstone Necklace,2,308.26,Active,Northeast
Month 1,2025-01-19,ORD50154,CUST1130,Online,SKU1004,Bracelets,Tennis Bracelet,2,872.68,Lapsed,West
Month 1,2025-01-20,ORD50071,CUST1097,Online,SKU1006,Rings,Silver Stackable Ring,3,295.7,Active,South
Month 1,2025-01-20,ORD50132,CUST1155,In-Store,SKU1008,Earrings,Hoop Earrings,1,129.67,Active,Midwest
Month 1,2025-01-20,ORD50140,CUST1045,In-Store,SKU1006,Rings,Silver Stackable Ring,1,86.39,Active,South
Month 1,2025-01-20,ORD50158,CUST1061,Online,SKU1002,Rings,Diamond Promise Ring,1,325.86,Active,South
Month 1,2025-01-20,ORD50178,CUST1037,Online,SKU1005,Watches,Rose Gold Watch,1,279.45,Active,West
Month 1,2025-01-20,ORD50193,CUST1131,Online,SKU1004,Bracelets,Tennis Bracelet,2,829.93,Active,West
Month 1,2025-01-20,ORD50208,CUST1084,Online,SKU1004,Bracelets,Tennis Bracelet,2,890.02,Active,South
Month 1,2025-01-21,ORD50057,CUST1088,Online,SKU1002,Rings,Diamond Promise Ring,1,339.8,Active,South
Month 1,2025-01-21,ORD50093,CUST1125,In-Store,SKU1001,Necklaces,Gold Pendant Necklace,2,341.23,Lapsed,West
Month 1,2025-01-21,ORD50110,CUST1071,Online,SKU1003,Earrings,Pearl Stud Earrings,2,294.14,Active,West
Month 1,2025-01-21,ORD50156,CUST1035,In-Store,SKU1006,Rings,Silver Stackable Ring,1,92.15,Lapsed,Northeast
Month 1,2025-01-21,ORD50185,CUST1057,In-Store,SKU1006,Rings,Silver Stackable Ring,1,99.39,Lapsed,West
Month 1,2025-01-22,ORD50048,CUST1038,In-Store,SKU1004,Bracelets,Tennis Bracelet,1,376.69,Active,Midwest
Month 1,2025-01-22,ORD50087,CUST1161,In-Store,SKU1002,Rings,Diamond Promise Ring,2,585.27,Active,Northeast
Month 1,2025-01-22,ORD50106,CUST1096,In-Store,SKU1001,Necklaces,Gold Pendant Necklace,1,182.47,Active,Northeast
Month 1,2025-01-22,ORD50130,CUST1064,In-Store,SKU1007,Necklaces,Birthstone Necklace,1,165.12,Active,Northeast
Month 1,2025-01-22,ORD50141,CUST1179,Online,SKU1005,Watches,Rose Gold Watch,1,259.81,Active,West
Month 1,2025-01-22,ORD50210,CUST1012,In-Store,SKU1006,Rings,Silver Stackable Ring,2,179.38,Lapsed,South
Month 1,2025-01-22,ORD50216,CUST1135,In-Store,SKU1005,Watches,Rose Gold Watch,1,263.58,Active,West
Month 1,2025-01-23,ORD50014,CUST1171,Online,SKU1009,Bracelets,Charm Bracelet,1,150.55,Active,Northeast
Month 1,2025-01-23,ORD50022,CUST1002,Online,SKU1001,Necklaces,Gold Pendant Necklace,1,213.05,Active,West
Month 1,2025-01-23,ORD50025,CUST1091,In-Store,SKU1002,Rings,Diamond Promise Ring,2,614.31,Active,Midwest
Month 1,2025-01-23,ORD50036,CUST1000,In-Store,SKU1007,Necklaces,Birthstone Necklace,2,293.94,Lapsed,Midwest
Month 1,2025-01-23,ORD50049,CUST1102,In-Store,SKU1008,Earrings,Hoop Earrings,1,125.89,Active,South
Month 1,2025-01-23,ORD50064,CUST1049,Online,SKU1007,Necklaces,Birthstone Necklace,1,171.43,Active,Northeast
Month 1,2025-01-23,ORD50111,CUST1087,Online,SKU1006,Rings,Silver Stackable Ring,1,102.87,Active,Northeast
Month 1,2025-01-23,ORD50137,CUST1139,Online,SKU1010,Rings,Engagement Ring Set,1,931.81,Lapsed,Midwest
Month 1,2025-01-23,ORD50173,CUST1008,Online,SKU1002,Rings,Diamond Promise Ring,1,356.62,Lapsed,Midwest
Month 1,2025-01-23,ORD50198,CUST1001,Online,SKU1005,Watches,Rose Gold Watch,1,252.62,Active,West
Month 1,2025-01-23,ORD50203,CUST1081,In-Store,SKU1007,Necklaces,Birthstone Necklace,1,156.36,Active,South
Month 1,2025-01-24,ORD50024,CUST1017,Online,SKU1003,Earrings,Pearl Stud Earrings,1,151.06,Active,Midwest
Month 1,2025-01-24,ORD50042,CUST1159,Online,SKU1008,Earrings,Hoop Earrings,1,124.97,Active,Northeast
Month 1,2025-01-24,ORD50070,CUST1152,Online,SKU1006,Rings,Silver Stackable Ring,2,214.5,Lapsed,South
Month 1,2025-01-24,ORD50080,CUST1120,Online,SKU1008,Earrings,Hoop Earrings,1,122.31,Lapsed,West
Month 1,2025-01-24,ORD50125,CUST1136,Online,SKU1008,Earrings,Hoop Earrings,2,261.14,Active,Midwest
Month 1,2025-01-24,ORD50142,CUST1064,Online,SKU1001,Necklaces,Gold Pendant Necklace,1,178.95,Active,Northeast
Month 1,2025-01-24,ORD50149,CUST1136,Online,SKU1006,Rings,Silver Stackable Ring,2,181.46,Active,Midwest
Month 1,2025-01-24,ORD50181,CUST1075,Online,SKU1008,Earrings,Hoop Earrings,1,124.47,Active,Midwest
Month 1,2025-01-24,ORD50182,CUST1001,In-Store,SKU1002,Rings,Diamond Promise Ring,1,293.15,Active,West
Month 1,2025-01-24,ORD50183,CUST1018,In-Store,SKU1002,Rings,Diamond Promise Ring,2,642.69,Active,Northeast
Month 1,2025-01-24,ORD50214,CUST1105,Online,SKU1007,Necklaces,Birthstone Necklace,1,186.16,Active,Northeast
Month 1,2025-01-25,ORD50067,CUST1031,Online,SKU1001,Necklaces,Gold Pendant Necklace,1,167.04,Active,South
Month 1,2025-01-25,ORD50072,CUST1178,Online,SKU1006,Rings,Silver Stackable Ring,1,101.44,Lapsed,Midwest
Month 1,2025-01-25,ORD50075,CUST1092,Online,SKU1003,Earrings,Pearl Stud Earrings,2,297.56,Lapsed,West
Month 1,2025-01-25,ORD50078,CUST1084,Online,SKU1003,Earrings,Pearl Stud Earrings,1,144.18,Active,South
Month 1,2025-01-25,ORD50103,CUST1077,Online,SKU1002,Rings,Diamond Promise Ring,1,340.74,Active,Midwest
Month 1,2025-01-25,ORD50139,CUST1110,Online,SKU1008,Earrings,Hoop Earrings,1,120.68,Lapsed,South
Month 1,2025-01-25,ORD50151,CUST1030,Online,SKU1006,Rings,Silver Stackable Ring,1,98.95,Active,Northeast
Month 1,2025-01-25,ORD50171,CUST1088,In-Store,SKU1001,Necklaces,Gold Pendant Necklace,2,366.85,Active,South
Month 1,2025-01-25,ORD50217,CUST1130,In-Store,SKU1002,Rings,Diamond Promise Ring,1,320.4,Lapsed,West
Month 1,2025-01-26,ORD50017,CUST1089,Online,SKU1003,Earrings,Pearl Stud Earrings,3,455.79,Lapsed,South
Month 1,2025-01-26,ORD50020,CUST1098,In-Store,SKU1001,Necklaces,Gold Pendant Necklace,1,173.19,Active,Northeast
Month 1,2025-01-26,ORD50032,CUST1060,Online,SKU1003,Earrings,Pearl Stud Earrings,1,139.94,Active,South
Month 1,2025-01-26,ORD50035,CUST1169,In-Store,SKU1006,Rings,Silver Stackable Ring,1,91.96,Active,Northeast
Month 1,2025-01-26,ORD50047,CUST1120,In-Store,SKU1003,Earrings,Pearl Stud Earrings,1,132.07,Lapsed,West
Month 1,2025-01-26,ORD50074,CUST1011,Online,SKU1005,Watches,Rose Gold Watch,3,803.14,Lapsed,Northeast
Month 1,2025-01-26,ORD50101,CUST1083,In-Store,SKU1003,Earrings,Pearl Stud Earrings,1,143.27,Active,Midwest
Month 1,2025-01-26,ORD50114,CUST1146,In-Store,SKU1008,Earrings,Hoop Earrings,2,225.84,Lapsed,South
Month 1,2025-01-26,ORD50123,CUST1123,In-Store,SKU1009,Bracelets,Charm Bracelet,2,277.69,Active,South
Month 1,2025-01-26,ORD50192,CUST1139,Online,SKU1005,Watches,Rose Gold Watch,1,276.76,Lapsed,Midwest
Month 1,2025-01-27,ORD50005,CUST1002,Online,SKU1007,Necklaces,Birthstone Necklace,1,174.47,Active,West
Month 1,2025-01-27,ORD50008,CUST1101,Online,SKU1003,Earrings,Pearl Stud Earrings,1,138.04,Active,South
Month 1,2025-01-27,ORD50043,CUST1111,Online,SKU1008,Earrings,Hoop Earrings,1,123.05,Active,Northeast
Month 1,2025-01-27,ORD50097,CUST1133,In-Store,SKU1001,Necklaces,Gold Pendant Necklace,1,186.68,Active,South
Month 1,2025-01-27,ORD50098,CUST1058,Online,SKU1002,Rings,Diamond Promise Ring,1,300.57,Active,West
Month 1,2025-01-27,ORD50121,CUST1112,In-Store,SKU1003,Earrings,Pearl Stud Earrings,1,142.58,Lapsed,West
Month 1,2025-01-27,ORD50122,CUST1129,Online,SKU1008,Earrings,Hoop Earrings,1,124.26,Lapsed,Midwest
Month 1,2025-01-27,ORD50157,CUST1099,In-Store,SKU1002,Rings,Diamond Promise Ring,1,292.81,Lapsed,Northeast
Month 1,2025-01-27,ORD50168,CUST1137,Online,SKU1007,Necklaces,Birthstone Necklace,1,156.2,Active,Northeast
Month 1,2025-01-27,ORD50170,CUST1126,In-Store,SKU1004,Bracelets,Tennis Bracelet,2,902.64,Active,Midwest
Month 1,2025-01-27,ORD50204,CUST1136,In-Store,SKU1006,Rings,Silver Stackable Ring,1,100.16,Active,Midwest
Month 1,2025-01-28,ORD50018,CUST1062,In-Store,SKU1007,Necklaces,Birthstone Necklace,1,148.38,Active,West
Month 1,2025-01-28,ORD50037,CUST1055,In-Store,SKU1006,Rings,Silver Stackable Ring,1,86.89,Active,South
Month 1,2025-01-28,ORD50059,CUST1030,Online,SKU1003,Earrings,Pearl Stud Earrings,2,285.57,Active,Northeast
Month 1,2025-01-28,ORD50089,CUST1034,Online,SKU1003,Earrings,Pearl Stud Earrings,1,134.91,Active,Northeast
Month 1,2025-01-28,ORD50220,CUST1054,Online,SKU1001,Necklaces,Gold Pendant Necklace,2,348.99,Active,Midwest
Month 1,2025-01-29,ORD50006,CUST1103,Online,SKU1006,Rings,Silver Stackable Ring,1,101.64,Active,West
Month 1,2025-01-29,ORD50039,CUST1059,Online,SKU1002,Rings,Diamond Promise Ring,1,327.39,Active,West
Month 1,2025-01-29,ORD50050,CUST1151,Online,SKU1005,Watches,Rose Gold Watch,1,292.42,Active,West
Month 1,2025-01-29,ORD50084,CUST1096,Online,SKU1008,Earrings,Hoop Earrings,1,123.23,Active,Northeast
Month 1,2025-01-29,ORD50218,CUST1097,In-Store,SKU1006,Rings,Silver Stackable Ring,1,97.29,Active,South
Month 1,2025-01-30,ORD50085,CUST1139,In-Store,SKU1009,Bracelets,Charm Bracelet,2,295.1,Lapsed,Midwest
Month 1,2025-01-30,ORD50088,CUST1158,In-Store,SKU1004,Bracelets,Tennis Bracelet,2,795.57,Active,Midwest
Month 1,2025-01-30,ORD50104,CUST1073,In-Store,SKU1006,Rings,Silver Stackable Ring,1,89.22,Active,Northeast
Month 1,2025-01-30,ORD50196,CUST1098,In-Store,SKU1008,Earrings,Hoop Earrings,2,219.58,Active,Northeast
Month 1,2025-01-30,ORD50219,CUST1161,Online,SKU1005,Watches,Rose Gold Watch,1,260.16,Active,Northeast
Month 1,2025-01-31,ORD50019,CUST1125,In-Store,SKU1001,Necklaces,Gold Pendant Necklace,2,337.28,Lapsed,West
Month 1,2025-01-31,ORD50040,CUST1138,In-Store,SKU1007,Necklaces,Birthstone Necklace,2,275.65,Active,Northeast
Month 1,2025-01-31,ORD50113,CUST1102,Online,SKU1005,Watches,Rose Gold Watch,1,267.03,Active,South
Month 1,2025-01-31,ORD50191,CUST1096,Online,SKU1008,Earrings,Hoop Earrings,3,365.18,Active,Northeast
Month 1,2025-01-31,ORD50195,CUST1073,In-Store,SKU1005,Watches,Rose Gold Watch,2,478.06,Active,Northeast
Month 1,2025-01-31,ORD50211,CUST1003,Online,SKU1001,Necklaces,Gold Pendant Necklace,1,191.92,Active,Northeast
Month 1,2025-01-31,ORD50215,CUST1148,Online,SKU1007,Necklaces,Birthstone Necklace,2,349.5,Active,Northeast
Month 2,2025-02-01,ORD50270,CUST1178,In-Store,SKU1001,Necklaces,Gold Pendant Necklace,1,203.52,Lapsed,Midwest
